#SampleID;NA;BarcodeSequence;LinkerPrimerSequence;SourceSink;Environment;Treatment;Description
ERR1474568_1-1-5Mss;NA;NA;source;Saliva;Yes;Lassalle_etal_2017;
ERR1474580_1-1-5Mss;NA;NA;source;Saliva;Yes;Lassalle_etal_2017;
ERR1474585_1-1-5Mss;NA;NA;source;Saliva;Yes;Lassalle_etal_2017;
ERR1474586_1-1-5Mss;NA;NA;source;Saliva;Yes;Lassalle_etal_2017;
ERR2004605_1-1-5Mss;NA;NA;source;Soil;Yes;Ren_etal_2018;
ERR2004609_1-1-5Mss;NA;NA;source;Soil;Yes;Ren_etal_2018;
ERR2004615_1-1-5Mss;NA;NA;source;Soil;Yes;Ren_etal_2018;
SRR1157607_1-1-5Mss;NA;NA;source;Soil;Yes;Lin_etal_2014;
SRR1157609_1-1-5Mss;NA;NA;source;Soil;Yes;Lin_etal_2014;
SRR1620017_1-1-5Mss;NA;NA;source;Skin;Yes;Schmedes_etal_2017;
SRR1952513_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR1952567_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR1952611_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR1952623_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR2240834_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR2240920_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR3586059_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR3586060_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR3586063_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR3586064_1-1-5Mss;NA;NA;source;Plaque;Yes;Lloyd_Price_etal_2017;
SRR3644405_1-1-5Mss;NA;NA;source;Skin;Yes;Oh_etal_2014;
SRR5277367_1-1-5Mss;NA;NA;source;Soil;Yes;DOE_JointGenomeInstitute_2017;
SRR6877282_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877284_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877286_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877288_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877290_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877292_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877310_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877312_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877323_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR6877393_1-1-5Mss;NA;NA;source;Calculus;Yes;Mann_etal_2018;
SRR7448290_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7448291_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7448292_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7448294_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7448307_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7448312_1-1-5Mss;NA;NA;source;Saliva;Yes;Aleti_etal_2018;
SRR7687997_1-1-5Mss;NA;NA;source;Skin;Yes;Tirosh_etal_2018;
SRR7992620_1-1-5Mss;NA;NA;source;Skin;Yes;Tirosh_etal_2018;
SRR7992621_1-1-5Mss;NA;NA;source;Skin;Yes;Tirosh_etal_2018;
SRR7992810_1-1-5Mss;NA;NA;source;Skin;Yes;Tirosh_etal_2018;
SRR8465122_1-1-5Mss;NA;NA;source;Soil;Yes;DOE_JointGenomeInstitute_2017;
SRR8465471_1-1-5Mss;NA;NA;source;Soil;Yes;DOE_JointGenomeInstitute_2017;